,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
0,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,1996,Midwest Division
1,59,23,.720,—,103.4,97.1,5.98,1996,San Antonio Spurs*
2,55,27,.671,4.0,102.5,95.9,6.25,1996,Utah Jazz*
3,48,34,.585,11.0,102.5,100.7,1.63,1996,Houston Rockets*
4,35,47,.427,24.0,97.7,100.4,-2.62,1996,Denver Nuggets
5,26,56,.317,33.0,97.9,103.2,-5.14,1996,Minnesota Timberwolves
6,26,56,.317,33.0,102.5,107.5,-4.71,1996,Dallas Mavericks
7,15,67,.183,44.0,89.8,99.8,-9.55,1996,Vancouver Grizzlies
8,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,1996,Pacific Division
9,64,18,.780,—,104.5,96.7,7.40,1996,Seattle SuperSonics*
10,53,29,.646,11.0,102.9,98.5,4.21,1996,Los Angeles Lakers*
11,44,38,.537,20.0,99.3,97.0,2.21,1996,Portland Trail Blazers*
12,41,41,.500,23.0,104.3,104.0,0.28,1996,Phoenix Suns*
13,39,43,.476,25.0,99.5,102.3,-2.62,1996,Sacramento Kings*
14,36,46,.439,28.0,101.6,103.1,-1.42,1996,Golden State Warriors
15,29,53,.354,35.0,99.4,103.0,-3.46,1996,Los Angeles Clippers
0,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,1997,Midwest Division
1,64,18,.780,—,103.1,94.3,7.97,1997,Utah Jazz*
2,57,25,.695,7.0,100.6,96.1,3.85,1997,Houston Rockets*
3,40,42,.488,24.0,96.1,97.6,-1.82,1997,Minnesota Timberwolves*
4,24,58,.293,40.0,90.6,97.0,-6.47,1997,Dallas Mavericks
5,21,61,.256,43.0,97.8,104.1,-6.40,1997,Denver Nuggets
6,20,62,.244,44.0,90.5,98.3,-7.93,1997,San Antonio Spurs
7,14,68,.171,50.0,89.2,99.4,-10.17,1997,Vancouver Grizzlies
8,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,1997,Pacific Division
9,57,25,.695,—,100.9,93.2,6.91,1997,Seattle SuperSonics*
10,56,26,.683,1.0,100.0,95.7,3.66,1997,Los Angeles Lakers*
11,49,33,.598,8.0,99.0,94.8,3.56,1997,Portland Trail Blazers*
12,40,42,.488,17.0,102.8,102.2,0.21,1997,Phoenix Suns*
13,36,46,.439,21.0,97.2,99.5,-2.66,1997,Los Angeles Clippers*
14,34,48,.415,23.0,96.4,99.8,-3.64,1997,Sacramento Kings
15,30,52,.366,27.0,99.6,104.4,-4.90,1997,Golden State Warriors
0,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,1998,Midwest Division
1,62,20,.756,—,101.0,94.4,5.73,1998,Utah Jazz*
2,56,26,.683,6.0,92.5,88.5,3.30,1998,San Antonio Spurs*
3,45,37,.549,17.0,101.1,100.4,0.17,1998,Minnesota Timberwolves*
4,41,41,.500,21.0,98.8,99.5,-1.23,1998,Houston Rockets*
5,20,62,.244,42.0,91.4,97.5,-6.33,1998,Dallas Mavericks
6,19,63,.232,43.0,96.6,103.9,-7.47,1998,Vancouver Grizzlies
